"Symbol","Description"
"SPY","State Street SPDR S&P 500 ETF Trust"
"VOO","Vanguard S&P 500 ETF"
"IVV","iShares Core S&P 500 ETF"
"SPLG","State Street SPDR Portfolio S&P 500 ETF"
"VTI","Vanguard Total Stock Market Index Fund ETF Shares"
"ITOT","iShares Core S&P Total U.S. Stock Market ETF"
"QQQ","Invesco QQQ Trust"
"DIA","State Street SPDR Dow Jones Industrial Average ETF Trust"
"IWM","iShares Russell 2000 ETF"
"IJH","iShares Core S&P Mid-Cap ETF"
"RSP","Invesco S&P 500 Equal Weight ETF"
"VT","Vanguard Total World Stock Index Fund ETF Shares"
"ACWI","iShares MSCI ACWI ETF"
"VXUS","Vanguard Total International Stock Index Fund ETF Shares"
"VEA","Vanguard FTSE Developed Markets Index Fund ETF Shares"
"VWO","Vanguard Emerging Markets Stock Index Fund"
"EFA","iShares MSCI EAFE ETF"
"EEM","iShares MSCI Emerging Markets ETF"
"TLT","iShares 20+ Year Treasury Bond ETF"
"IEF","iShares 7-10 Year Treasury Bond ETF"
"SGOV","iShares 0-3 Month Treasury Bond ETF"
"GLD","SPDR Gold Shares"
"VNQ","Vanguard Real Estate Index Fund ETF Shares"
"UPRO","ProShares UltraPro S&P500"
"SSO","ProShares Ultra S&P500"
"SH","ProShares Short S&P500"
"SDS","ProShares UltraShort S&P500"
"TQQQ","ProShares UltraPro QQQ"
"QLD","ProShares Ultra QQQ"
"PSQ","ProShares Short QQQ"
"SQQQ","ProShares UltraPro Short QQQ"
"SMH", "semiconductor memmory"
